OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-NC,USGS North Carolina Water Science Center,USGS-0208524845,"LITTLE RIVER RESERVOIR AT DAM NEAR BAHAMA, NC","Lake, Reservoir, Impoundment",,03020201,97.7,sq mi,,,36.11500000000000,-78.8691667000000,,1,seconds,Reported.,NAD83,,,,,,,US,37,063,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02086490,"LAKE MICHIE AT DAM NR BAHAMA, NC","Lake, Reservoir, Impoundment",,03020201,167,sq mi,,,36.15083330000000,-78.8300000000000,,1,seconds,Reported.,NAD83,,,,,,,US,37,063,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02087580,"SWIFT CREEK NEAR APEX, NC",Stream,,03020201,21,sq mi,,,35.71888889000000,-78.7522222000000,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,292.22,feet,.01,feet,Level or other surveyed method.,NGVD29,US,37,183,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02089500,"NEUSE RIVER AT KINSTON, NC",Stream,,03020202,2692,sq mi,,,35.25777778000000,-77.5855556000000,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,10.90,feet,.01,feet,Reported method of determination.,NGVD29,US,37,107,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02091500,"CONTENTNEA CREEK AT HOOKERTON, NC",Stream,,03020203,733,sq mi,,,35.42888889000000,-77.5825000000000,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,14.85,feet,.01,feet,Reported method of determination.,NGVD29,US,37,079,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02096846,"CANE CREEK NEAR ORANGE GROVE, NC",Stream,,03030002,7.54,sq mi,,,35.98722220000000,-79.2061111000000,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,507.69,feet,.16,feet,Differentially corrected Global Positioning System.,NAVD88,US,37,135,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0209684980,"CANE CR RESERVOIR AT DAM NR WHITE CROSS, NC","Lake, Reservoir, Impoundment",,03030002,31.4,sq mi,,,35.95000000000000,-79.2411111000000,,1,seconds,Reported.,NAD83,,,,,,,US,37,135,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02096960,"HAW RIVER NEAR BYNUM, NC",Stream,,03030002,1275,sq mi,,,35.76527778000000,-79.1358333000000,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,283.31,feet,.01,feet,Reported method of determination.,NGVD29,US,37,037,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0209699999,"B. EVERETT JORDAN LAKE, HAW R ARM NR HANKS CHAPEL","Lake, Reservoir, Impoundment",,03030002,1303,sq mi,,,35.70527778000000,-79.0844444000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,37,037,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02097314,"NEW HOPE CREEK NEAR BLANDS, NC",Stream,,03030002,75.9,sq mi,,,35.88500000000000,-78.9652778000000,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,214.37,feet,.07,feet,Differentially corrected Global Positioning System.,NAVD88,US,37,063,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0209741955,"NORTHEAST CREEK AT SR1100 NR GENLEE, NC",Stream,,03030002,21.1,sq mi,,,35.87222220000000,-78.9130556000000,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,229.01,feet,.01,feet,Level or other surveyed method.,NGVD29,US,37,063,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02097464,"MORGAN CREEK NEAR WHITE CROSS, NC",Stream,,03030002,8.35,sq mi,,,35.92361110000000,-79.1150000000000,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,410.13,feet,.30,feet,Differentially corrected Global Positioning System.,NAVD88,US,37,135,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0209749990,"UNIVERSITY LAKE AT INTAKES NR CHAPEL HILL, NC","Lake, Reservoir, Impoundment",,03030002,30,sq mi,,,35.89694444000000,-79.0922222000000,,1,seconds,Reported.,NAD83,,,,,,,US,37,135,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0209768310,"JORDAN LAKE AT BUOY 12 AT FARRINGTON, NC","Lake, Reservoir, Impoundment",,03030002,,,,,35.79888889000000,-79.0058333000000,,1,seconds,Reported.,NAD83,,,,,,,US,37,037,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0209782609,"WHITE OAK CR AT MOUTH NEAR GREEN LEVEL, NC",Stream,,03030002,11.9,sq mi,,,35.76027778000000,-78.9202778000000,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,236.14,feet,.20,feet,Differentially corrected Global Positioning System.,NAVD88,US,37,183,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0209799150,"B.E. JORDAN LAKE AB US HWY 64 AT WILSONVILLE, NC","Lake, Reservoir, Impoundment",,03030002,,,,,35.74166667000000,-79.0191667000000,,1,seconds,Reported.,NAD83,,,,,,,US,37,037,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0209801100,"B.E. JORDAN LK AT BELLS LANDNG NR GRIFFINS XRDS,NC","Lake, Reservoir, Impoundment",,03030002,,,,,35.72750000000000,-79.0427778000000,,1,seconds,Reported.,NAD83,,,,,,,US,37,037,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-03512000,"OCONALUFTEE RIVER AT BIRDTOWN, NC",Stream,,06010203,184,sq mi,,,35.46138889000000,-83.3536111000000,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1843.30,feet,.01,feet,Reported method of determination.,NGVD29,US,37,173,,,,,,,,,NWIS
USGS-ND,USGS North Dakota Water Science Center,USGS-05051522,"RED RIVER OF THE NORTH AT HICKSON, ND",Stream,,09020104,4300,sq mi,,,46.65968548000000,-96.7959154000000,,5,seconds,Interpolated from MAP.,NAD83,878.00,feet,.1,feet,GNSS1 - Level 1 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,38,017,,,,,,,,,NWIS
USGS-ND,USGS North Dakota Water Science Center,USGS-05051600,"WILD RICE RIVER NR RUTLAND, ND",Stream,,09020105,546,sq mi,296,sq mi,46.02218550000000,-97.5114850000000,,5,seconds,Interpolated from MAP.,NAD83,1198.64,feet,.10,feet,Level or other surveyed method.,NAVD88,US,38,081,,,,,,,,,NWIS
USGS-ND,USGS North Dakota Water Science Center,USGS-05052500,"ANTELOPE CREEK AT DWIGHT, ND",Stream,,09020105,294,sq mi,278,sq mi,46.31134769000000,-96.7345217000000,24000,3,seconds,Interpolated from Digital MAP.,NAD83,906.98,feet,.01,feet,Reported method of determination.,NAVD88,US,38,077,,,,,,,,,NWIS
USGS-ND,USGS North Dakota Water Science Center,USGS-05053000,"WILD RICE RIVER NR ABERCROMBIE, ND",Stream,,09020105,2080,sq mi,1490,sq mi,46.47051680000000,-96.7823018000000,,5,seconds,Interpolated from MAP.,NAD83,909.18,feet,.1,feet,GNSS1 - Level 1 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,38,077,,,,,,,,,NWIS
USGS-ND,USGS North Dakota Water Science Center,USGS-05053500,"WILD RICE RIVER NR ST BENEDICT, ND",Stream,,09020105,,,,,46.71694440000000,-96.8205556000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,863.54,feet,.01,feet,Level or other surveyed method.,NAVD88,US,38,017,,,,,,,,,NWIS
USGS-ND,USGS North Dakota Water Science Center,USGS-05054000,"RED RIVER OF THE NORTH AT FARGO, ND",Stream,,09020104,6800,sq mi,,,46.86107500000000,-96.7836924000000,24000,5,seconds,Interpolated from MAP.,NAD83,862.88,feet,.1,feet,GNSS1 - Level 1 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,38,017,,,,,,,,,NWIS
USGS-ND,USGS North Dakota Water Science Center,USGS-05054200,"RED RIVER OF THE NORTH NEAR HARWOOD, ND",Stream,,09020104,,,,,46.97690960000000,-96.8209139000000,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,38,017,,,,,,,,,NWIS
USGS-ND,USGS North Dakota Water Science Center,USGS-05054500,"SHEYENNE RIVER ABOVE HARVEY, ND",Stream,,09020202,424,sq mi,154,sq mi,47.70277750000000,-99.9490145000000,,5,seconds,Interpolated from MAP.,NAD83,1548.6,feet,.1,feet,Level or other surveyed method.,NAVD88,US,38,103,,,,,,,,,NWIS
USGS-ND,USGS North Dakota Water Science Center,USGS-05056000,"SHEYENNE RIVER NR WARWICK, ND",Stream,,09020203,2070,sq mi,760,sq mi,47.80555340000000,-98.7162172000000,,5,seconds,Interpolated from MAP.,NAD83,1377.52,feet,.01,feet,Level or other surveyed method.,NAVD88,US,38,027,,,,,,,,,NWIS
USGS-ND,USGS North Dakota Water Science Center,USGS-05056060,"MAUVAIS COULEE TRIB NO. 3 NR CANDO, ND",Stream,,09020201,60.2,sq mi,60.2,sq mi,48.45750080000000,-99.2243037000000,,3,seconds,Interpolated from Digital MAP.,NAD83,1461,feet,5,feet,Interpolated from topographic map.,NAVD88,US,38,095,,,,,,,,,NWIS
USGS-ND,USGS North Dakota Water Science Center,USGS-05056100,"MAUVAIS COULEE NR CANDO, ND",Stream,,09020201,387,sq mi,377,sq mi,48.44805880000000,-99.1026354000000,,5,seconds,Interpolated from MAP.,NAD83,1446,feet,5,feet,Interpolated from topographic map.,NAVD88,US,38,095,,,,,,,,,NWIS
USGS-ND,USGS North Dakota Water Science Center,USGS-05056200,"EDMORE COULEE NR EDMORE, ND",Stream,,09020201,382,sq mi,282,sq mi,48.33667157000000,-98.6603958000000,,3,seconds,Interpolated from Digital MAP.,NAD83,1401.25,feet,.01,feet,Level or other surveyed method.,NAVD88,US,38,071,,,,,,,,,NWIS
USGS-ND,USGS North Dakota Water Science Center,USGS-05056215,"EDMORE COULEE TRIB NR WEBSTER, ND",Stream,,09020201,148,sq mi,104,sq mi,48.26639280000000,-98.6809499000000,,5,seconds,Interpolated from MAP.,NAD83,1405.04,feet,.1,feet,Reported method of determination.,NAVD88,US,38,071,,,,,,,,,NWIS
USGS-ND,USGS North Dakota Water Science Center,USGS-05056220,"SWEETWATER LAKE AT SWEETWATER, ND","Lake, Reservoir, Impoundment",,09020201,670,sq mi,380,sq mi,48.21083580000000,-98.8712347000000,,3,seconds,Interpolated from Digital MAP.,NAD83,1400,feet,10,feet,Interpolated from topographic map.,NGVD29,US,38,071,,,,,,,,,NWIS
USGS-ND,USGS North Dakota Water Science Center,USGS-05056222,"MORRISON LAKE NEAR WEBSTER, ND","Lake, Reservoir, Impoundment",,09020201,501,sq mi,,,48.25972559000000,-98.8470683000000,24000,5,seconds,Interpolated from MAP.,NAD83,1401.23,feet,10,feet,Interpolated from topographic map.,NAVD88,US,38,071,,,,,,,,,NWIS
USGS-ND,USGS North Dakota Water Science Center,USGS-05056239,"STARKWEATHER COULEE NR WEBSTER, ND",Stream,,09020201,310,sq mi,210,sq mi,48.32055910000000,-98.9406851000000,,3,seconds,Interpolated from Digital MAP.,NAD83,1449,feet,5,feet,Interpolated from topographic map.,NAVD88,US,38,071,,,,,,,,,NWIS
USGS-ND,USGS North Dakota Water Science Center,USGS-05056241,"DRY LAKE NEAR PENN, ND","Lake, Reservoir, Impoundment",,09020201,920,sq mi,,,48.23111277000000,-98.9834630000000,24000,5,seconds,Interpolated from MAP.,NAD83,1401.22,feet,.1,feet,Reported method of determination.,NAVD88,US,38,071,,,,,,,,,NWIS
USGS-ND,USGS North Dakota Water Science Center,USGS-05056250,"LAKE ALICE NR CHURCHS FERRY, ND","Lake, Reservoir, Impoundment",,09020201,2100,sq mi,1600,sq mi,48.32583470000000,-99.0954114000000,,3,seconds,Interpolated from Digital MAP.,NAD83,1400.00,feet,.01,feet,Level or other surveyed method.,NGVD29,US,38,071,,,,,,,,,NWIS
USGS-ND,USGS North Dakota Water Science Center,USGS-05056260,"LAKE IRVINE NR CHURCHS FERRY, ND","Lake, Reservoir, Impoundment",,09020201,2120,sq mi,1620,sq mi,48.28249926000000,-99.1740232000000,,5,seconds,Interpolated from MAP.,NAD83,1400.00,feet,.01,feet,Level or other surveyed method.,NGVD29,US,38,071,,,,,,,,,NWIS
USGS-ND,USGS North Dakota Water Science Center,USGS-05056340,"LITTLE COULEE NR LEEDS, ND",Stream,,09020201,320,sq mi,170,sq mi,48.24333220000000,-99.3729125000000,,3,seconds,Interpolated from Digital MAP.,NAD83,1481.24,feet,10,feet,Interpolated from topographic map.,NAVD88,US,38,005,,,,,,,,,NWIS
USGS-ND,USGS North Dakota Water Science Center,USGS-05056665,"EASTERN STUMP LAKE NR LAKOTA, ND","Lake, Reservoir, Impoundment",,09020201,,,,,47.86860890000000,-98.3578795000000,24000,5,seconds,Interpolated from MAP.,NAD83,1401.15,feet,10,feet,Interpolated from topographic map.,NAVD88,US,38,063,,,,,,,,,NWIS
USGS-ND,USGS North Dakota Water Science Center,USGS-05056670,"WESTERN STUMP LAKE NR LAKOTA, ND","Lake, Reservoir, Impoundment",,09020201,,,,,47.91333180000000,-98.3909361000000,,1,seconds,Interpolated from MAP.,NAD83,1300,feet,10,feet,Interpolated from topographic map.,NGVD29,US,38,063,,,,,,,,,NWIS
USGS-ND,USGS North Dakota Water Science Center,USGS-05057200,"BALDHILL CREEK NR DAZEY, ND",Stream,,09020203,691,sq mi,351,sq mi,47.22915620000000,-98.1248189000000,,5,seconds,Interpolated from MAP.,NAD83,1331,feet,5,feet,Interpolated from topographic map.,NAVD88,US,38,003,,,,,,,,,NWIS
USGS-ND,USGS North Dakota Water Science Center,USGS-05059000,"SHEYENNE RIVER NEAR KINDRED, ND",Stream,,09020204,8800,sq mi,3020,sq mi,46.63163288000000,-97.0006430000000,,5,seconds,Interpolated from MAP.,NAD83,926.5,feet,.1,feet,Level or other surveyed method.,NAVD88,US,38,017,,,,,,,,,NWIS
USGS-ND,USGS North Dakota Water Science Center,USGS-05059700,"MAPLE RIVER NR ENDERLIN, ND",Stream,,09020205,843,sq mi,796,sq mi,46.62163880000000,-97.5739851000000,,5,seconds,Interpolated from MAP.,NAD83,1057.8,feet,.1,feet,Level or other surveyed method.,NAVD88,US,38,073,,,,,,,,,NWIS
USGS-ND,USGS North Dakota Water Science Center,USGS-05060100,"MAPLE RIVER BL MAPLETON, ND",Stream,,09020205,1480,sq mi,1410,sq mi,46.90524870000000,-97.0525870000000,,5,seconds,Interpolated from MAP.,NAD83,881.39,feet,.01,feet,Level or other surveyed method.,NAVD88,US,38,017,,,,,,,,,NWIS
USGS-ND,USGS North Dakota Water Science Center,USGS-05060400,"SHEYENNE RIVER AT HARWOOD, ND",Stream,,09020204,,,,,46.97746739000000,-96.8917491000000,,3,seconds,Interpolated from Digital MAP.,NAD83,801.16,feet,.1,feet,GNSS1 - Level 1 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,38,017,,,,,,,,,NWIS
USGS-ND,USGS North Dakota Water Science Center,USGS-05060500,"RUSH RIVER AT AMENIA, ND",Stream,,09020204,116,sq mi,,,47.01664130000000,-97.2142540000000,,5,seconds,Interpolated from MAP.,NAD83,941.88,feet,.1,feet,GNSS1 - Level 1 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,38,017,,,,,,,,,NWIS
USGS-ND,USGS North Dakota Water Science Center,USGS-05062130,"RED RIVER NEAR GEORGETOWN, MN",Stream,,09020107,,,,,47.09269440000000,-96.8170556000000,24000,1,seconds,Interpolated from Digital MAP.,NAD83,832.8,feet,.1,feet,GNSS4 - Level 4 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,38,017,,,,,,,,,NWIS
USGS-ND,USGS North Dakota Water Science Center,USGS-05064500,"RED RIVER OF THE NORTH AT HALSTAD, MN",Stream,,09020107,21800,sq mi,,,47.35191800000000,-96.8436910000000,,1,seconds,Interpolated from MAP.,NAD83,827.74,feet,.01,feet,Level or other surveyed method.,NAVD88,US,38,097,,,,,,,,,NWIS
USGS-ND,USGS North Dakota Water Science Center,USGS-05065500,"GOOSE RIVER NEAR PORTLAND, ND",Stream,,09020109,517,sq mi,407,sq mi,47.53776460000000,-97.4534240000000,24000,1,seconds,Interpolated from MAP.,NAD83,961.6,feet,.1,feet,Level or other surveyed method.,NAVD88,US,38,097,,,,,,,,,NWIS
USGS-ND,USGS North Dakota Water Science Center,USGS-05066500,"GOOSE RIVER AT HILLSBORO, ND",Stream,,09020109,1203,sq mi,1093,sq mi,47.40942385000000,-97.0611974000000,24000,5,seconds,Interpolated from MAP.,NAD83,880.60,feet,.1,feet,GNSS1 - Level 1 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,38,097,,,,,,,,,NWIS
USGS-ND,USGS North Dakota Water Science Center,USGS-05082500,"RED RIVER OF THE NORTH AT GRAND FORKS, ND",Stream,,09020301,30100,sq mi,26300,sq mi,47.92692340000000,-97.0292435000000,,3,seconds,Interpolated from Digital MAP.,NAD83,780.07,feet,.1,feet,GNSS1 - Level 1 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,38,035,,,,,,,,,NWIS
USGS-ND,USGS North Dakota Water Science Center,USGS-05082625,"TURTLE RIVER AT TURTLE R STATE PARK NR ARVILLA, ND",Stream,,09020307,311,sq mi,,,47.93193360000000,-97.5145305000000,,5,seconds,Interpolated from MAP.,NAD83,959.39,feet,0.2,feet,Level or other surveyed method.,NAVD88,US,38,035,,,,,,,,,NWIS
USGS-ND,USGS North Dakota Water Science Center,USGS-05083000,"TURTLE RIVER AT MANVEL, ND",Stream,,09020307,613,sq mi,556,sq mi,48.07859500000000,-97.1845207000000,24000,1,seconds,Interpolated from MAP.,NAD83,800.38,feet,.01,feet,Level or other surveyed method.,NAVD88,US,38,035,,,,,,,,,NWIS
USGS-ND,USGS North Dakota Water Science Center,USGS-05084000,"FOREST RIVER NR FORDVILLE, ND",Stream,,09020308,456,sq mi,336,sq mi,48.19721480000000,-97.7306431000000,,5,seconds,Interpolated from MAP.,NAD83,1036.15,feet,1,feet,Interpolated from topographic map.,NAVD88,US,38,099,,,,,,,,,NWIS
USGS-ND,USGS North Dakota Water Science Center,USGS-05085000,"FOREST RIVER AT MINTO, ND",Stream,,09020308,740,sq mi,620,sq mi,48.28609900000000,-97.3700763000000,24000,.5,seconds,Interpolated from Digital MAP.,NAD83,808.12,feet,.1,feet,GNSS1 - Level 1 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,38,099,,,,,,,,,NWIS
USGS-ND,USGS North Dakota Water Science Center,USGS-05090000,"PARK RIVER AT GRAFTON, ND",Stream,,09020310,695,sq mi,,,48.42471080000000,-97.4120230000000,24000,5,seconds,Interpolated from MAP.,NAD83,812.08,feet,.1,feet,GNSS1 - Level 1 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,38,099,,,,,,,,,NWIS
USGS-ND,USGS North Dakota Water Science Center,USGS-05092000,"RED RIVER OF THE NORTH AT DRAYTON, ND",Stream,,09020311,34800,sq mi,,,48.57220640000000,-97.1475697000000,,5,seconds,Interpolated from MAP.,NAD83,756.05,feet,.1,feet,GNSS1 - Level 1 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,38,067,,,,,,,,,NWIS
USGS-ND,USGS North Dakota Water Science Center,USGS-05099400,"LITTLE SOUTH PEMBINA RIVER NR WALHALLA, ND",Stream,,09020316,182,sq mi,172,sq mi,48.86527259000000,-98.0059317000000,,1,seconds,Interpolated from MAP.,NAD83,1102.18,feet,.01,feet,Level or other surveyed method.,NAVD88,US,38,019,,,,,,,,,NWIS
USGS-ND,USGS North Dakota Water Science Center,USGS-05100000,"PEMBINA RIVER AT NECHE, ND",Stream,,09020316,3410,sq mi,,,48.98971380000000,-97.5570221000000,24000,5,seconds,Interpolated from MAP.,NAD83,810.99,feet,.1,feet,GNSS1 - Level 1 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,38,067,,,,,,,,,NWIS
USGS-ND,USGS North Dakota Water Science Center,USGS-05101000,"TONGUE RIVER AT AKRA, ND",Stream,,09020316,160,sq mi,,,48.77832786000000,-97.7467590000000,,3,seconds,Interpolated from Digital MAP.,NAD83,931.3,feet,.1,feet,Level or other surveyed method.,NAVD88,US,38,067,,,,,,,,,NWIS
USGS-ND,USGS North Dakota Water Science Center,USGS-05102490,"RED RIVER OF THE NORTH AT PEMBINA, ND",Stream,,09020311,40200,sq mi,36400,sq mi,48.97359880000000,-97.2417314000000,24000,3,seconds,Interpolated from Digital MAP.,NAD83,740.68,feet,.1,feet,GNSS1 - Level 1 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,38,067,,,,,,,,,NWIS
USGS-ND,USGS North Dakota Water Science Center,USGS-05113600,"LONG CREEK NR NOONAN, ND",Stream,,09010006,1790,sq mi,630,sq mi,48.98114170000000,-103.0765734000000,,5,seconds,Interpolated from MAP.,NAD83,1841.40,feet,1,feet,Interpolated from topographic map.,NAVD88,US,38,023,,,,,,,,,NWIS
USGS-ND,USGS North Dakota Water Science Center,USGS-05114000,"SOURIS RIVER NR SHERWOOD, ND",Stream,,09010008,8940,sq mi,3040,sq mi,48.99001560000000,-101.9582209000000,24000,5,seconds,Interpolated from MAP.,NAD83,1604.99,feet,.1,feet,Level or other surveyed method.,NAVD88,US,38,075,,,,,,,,,NWIS
USGS-ND,USGS North Dakota Water Science Center,USGS-05115500,"LAKE DARLING NEAR FOXHOLM, ND","Lake, Reservoir, Impoundment",,09010008,9450,sq mi,3250,sq mi,48.45807237000000,-101.5837731000000,,1,seconds,Interpolated from Digital MAP.,NAD83,,,,,,,US,38,101,,,,,,,,,NWIS
USGS-ND,USGS North Dakota Water Science Center,USGS-05116500,"DES LACS RIVER AT FOXHOLM, ND",Stream,,09010002,939,sq mi,539,sq mi,48.37056947000000,-101.5701633000000,24000,5,seconds,Interpolated from MAP.,NAD83,1634.23,feet,.1,feet,Level or other surveyed method.,NAVD88,US,38,101,,,,,,,,,NWIS
USGS-ND,USGS North Dakota Water Science Center,USGS-05117500,"SOURIS RIVER ABOVE MINOT, ND",Stream,,09010008,10600,sq mi,3900,sq mi,48.24584280000000,-101.3712745000000,24000,5,seconds,Interpolated from MAP.,NAD83,1547.01,feet,.1,feet,Level or other surveyed method.,NAVD88,US,38,101,,,,,,,,,NWIS
USGS-ND,USGS North Dakota Water Science Center,USGS-05120000,"SOURIS RIVER NR VERENDRYE, ND",Stream,,09010003,11300,sq mi,4400,sq mi,48.15972928000000,-100.7295863000000,24000,5,seconds,Interpolated from MAP.,NAD83,1466.10,feet,.1,feet,Level or other surveyed method.,NAVD88,US,38,049,,,,,,,,,NWIS
USGS-ND,USGS North Dakota Water Science Center,USGS-05120500,"WINTERING RIVER NR KARLSRUHE, ND",Stream,,09010003,705,sq mi,285,sq mi,48.13833739000000,-100.5398623000000,24000,5,seconds,Interpolated from MAP.,NAD83,1501.23,feet,1,feet,Interpolated from topographic map.,NAVD88,US,38,049,,,,,,,,,NWIS
USGS-ND,USGS North Dakota Water Science Center,USGS-05123400,"WILLOW CREEK NR WILLOW CITY, ND",Stream,,09010004,1160,sq mi,730,sq mi,48.58777637000000,-100.4415230000000,24000,5,seconds,Interpolated from MAP.,NAD83,1431.20,feet,5,feet,Interpolated from topographic map.,NAVD88,US,38,049,,,,,,,,,NWIS
USGS-ND,USGS North Dakota Water Science Center,USGS-05123510,"DEEP RIVER NR UPHAM, ND",Stream,,09010005,975,sq mi,370,sq mi,48.58417950000000,-100.8626452000000,24000,5,seconds,Interpolated from MAP.,NAD83,1431.23,feet,5,feet,Interpolated from topographic map.,NAVD88,US,38,049,,,,,,,,,NWIS
USGS-ND,USGS North Dakota Water Science Center,USGS-05123990,"J. CLARK SALYER POOL 357 NR WESTHOPE, ND","Lake, Reservoir, Impoundment",,09010003,16900,sq mi,6600,sq mi,48.97779687000000,-100.9629333000000,,5,seconds,Interpolated from MAP.,NAD83,1416,feet,1,feet,Interpolated from topographic map.,NGVD29,US,38,009,,,,,,,,,NWIS
USGS-ND,USGS North Dakota Water Science Center,USGS-06331000,"LITTLE MUDDY RIVER BL COW CREEK NR WILLISTON, ND",Stream,,10110102,875,sq mi,775,sq mi,48.28446830000000,-103.5729718000000,,5,seconds,Interpolated from MAP.,NAD83,1864.7,feet,.1,feet,Level or other surveyed method.,NAVD88,US,38,105,,,,,,,,,NWIS
USGS-ND,USGS North Dakota Water Science Center,USGS-06332000,"WHITE EARTH RIVER AT WHITE EARTH, ND",Stream,,10110101,780,sq mi,490,sq mi,48.37555556000000,-102.7672222000000,,1,seconds,Interpolated from MAP.,NAD83,2071.55,feet,5,feet,Interpolated from topographic map.,NAVD88,US,38,061,,,,,,,,,NWIS
USGS-ND,USGS North Dakota Water Science Center,USGS-06332515,"BEAR DEN CREEK NR MANDAREE, ND",Stream,,10110101,74,sq mi,,,47.78723690000000,-102.7685256000000,,5,seconds,Interpolated from MAP.,NAD83,1949.2,feet,.1,feet,Level or other surveyed method.,NAVD88,US,38,053,,,,,,,,,NWIS
USGS-ND,USGS North Dakota Water Science Center,USGS-06332520,"SHELL CREEK NR PARSHALL, ND",Stream,,10110101,465,sq mi,,,48.05306950000000,-102.1365577000000,24000,1,seconds,Interpolated from MAP.,NAD83,1932,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,38,061,,,,,,,,,NWIS
USGS-ND,USGS North Dakota Water Science Center,USGS-06332523,"E. FORK SHELL CREEK NR PARSHALL, ND",Stream,,10110101,360,sq mi,,,47.94862396000000,-102.2148930000000,,5,seconds,Interpolated from MAP.,NAD83,1891,feet,5,feet,Interpolated from topographic map.,NAVD88,US,38,061,,,,,,,,,NWIS
USGS-ND,USGS North Dakota Water Science Center,USGS-06332770,"DEEPWATER CREEK AT MOUTH NR RAUB, ND",Stream,,10110101,220,sq mi,,,47.73778499000000,-102.1076687000000,24000,5,seconds,Interpolated from MAP.,NAD83,1850,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,38,055,,,,,,,,,NWIS
USGS-ND,USGS North Dakota Water Science Center,USGS-06335500,"LITTLE MISSOURI RIVER AT MARMARTH, ND",Stream,,10110203,4640,sq mi,,,46.29777778000000,-103.9175000000000,,1,seconds,Interpolated from Digital MAP.,NAD83,2688.1,feet,.1,feet,Level or other surveyed method.,NAVD88,US,38,087,,,,,,,,,NWIS
